extroversion,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional,control,gender,age,stress,employment,exercise,household_size,friend_smokers,age_first
Disagree a little,Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree moderately,Yes,Female,20,Occasionally,Unemployed,Never,5,5,16
Agree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Often or at least 3 days every week,5,3,18
Agree a little,Disagree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,No,Male,22,Occasionally,Employed,Often or at least 3 days every week,6,1,20
Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Yes,Male,21,Frequently,Unemployed,Never,6,4,18
Disagree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Disagree a little,Disagree strongly,No,Male,21,Frequently,Unemployed,Sometimes or a few days every month,7,2,18
Disagree a little,Agree a little,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree a little,Disagree a little,Disagree strongly,Yes,Female,21,Constantly,Unemployed,Never,5,5,20
Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No,Female,21,Occasionally,Unemployed,Often or at least 3 days every week,5,4,19
Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Yes,Female,21,Occasionally,Unemployed,Sometimes or a few days every month,5,3,19
Disagree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Agree moderately,Disagree a little,Disagree a little,Agree a little,Disagree moderately,Disagree moderately,Yes,Female,21,Occasionally,Unemployed,Sometimes or a few days every month,6,3,19
Agree a little,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes,Female,21,Frequently,Unemployed,Never,4,5,18
Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes,Female,21,Constantly,Employed,Never,3,5,19
Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,No,Male,21,Rarely,Employed,Often or at least 3 days every week,4,1,20
Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No,Male,23,Rarely,Employed,Often or at least 3 days every week,1,1,20
Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,No,Female,23,Frequently,Employed,Never,4,2,20
Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,Yes,Male,24,Frequently,Employed,Never,1,5,19
Agree a little,Agree a little,Agree moderately,Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,No,Male,21,Frequently,Unemployed,Never,5,5,20
Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No,Male,22,Occasionally,Employed,Often or at least 3 days every week,5,1,20
Disagree moderately,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree a little,Yes,Male,22,Occasionally,Unemployed,Never,5,3,19
Disagree moderately,Disagree a little,Agree moderately,Agree a little,Disagree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Agree a little,Yes,Female,23,Frequently,Employed,Never,3,4,20
Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree a little,Disagree moderately,Agree a little,Disagree a little,Agree a little,Disagree moderately,No,Male,24,Occasionally,Employed,Sometimes or a few days every month,3,2,21
Agree moderately,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,Male,25,Occasionally,Employed,Often or at least 3 days every week,2,2,21
Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No,Male,24,Rarely,Employed,Sometimes or a few days every month,4,2,20
Agree a little,Disagree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree strongly,Agree moderately,No,Male,23,Occasionally,Employed,Often or at least 3 days every week,3,2,19
Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes,Female,21,Frequently,Unemployed,Never,4,4,18
Agree a little,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,No,Female,21,Occasionally,Unemployed,Sometimes or a few days every month,6,2,19
